lambx,lamby,Head_ftAMS
3479057.00000000000,3057891.00000000000,705.00000000000
3477447.00000000000,3058233.00000000000,691.00000000000
3439284.00000000000,3096459.00000000000,671.00000000000
3447053.00000000000,3101788.00000000000,678.00000000000
3440363.00000000000,3098077.00000000000,675.00000000000
3437211.00000000000,3086796.00000000000,638.00000000000
3518090.00000000000,3051210.00000000000,695.60000000000
3535640.00000000000,3082870.00000000000,617.90000000000
3452150.00000000000,3059860.00000000000,704.60000000000
3467190.00000000000,3069580.00000000000,702.20000000000
3398670.00000000000,3081690.00000000000,607.14000000000
3445820.00000000000,3151980.00000000000,598.20000000000
3501160.00000000000,3142380.00000000000,580.45000000000
3484070.00000000000,3125670.00000000000,624.00000000000
3414847.00000000000,3133298.00000000000,647.50000000000
3528690.00000000000,3125360.00000000000,548.00000000000
3518976.00000000000,3145232.00000000000,550.00000000000
3512062.00000000000,3157453.00000000000,571.00000000000
3536431.00000000000,3166781.50680000000,555.00000000000
3464720.00000000000,3038200.00000000000,701.00000000000
3509455.00000000000,3111820.00000000000,500.00000000000
3422974.00000000000,3341936.00000000000,610.00000000000
3368652.00000000000,3387986.00000000000,739.00000000000
3351916.00000000000,3422064.00000000000,734.00000000000
3396884.00000000000,3335561.00000000000,682.00000000000
3402896.00000000000,3342973.00000000000,657.00000000000
3439901.00000000000,3312950.00000000000,595.00000000000
3461748.00000000000,3307956.00000000000,595.00000000000
3435931.00000000000,3337338.00000000000,599.00000000000
3440567.00000000000,3333383.00000000000,598.00000000000
3441198.00000000000,3338032.00000000000,592.00000000000
3443355.00000000000,3375489.00000000000,585.00000000000
3440518.00000000000,3324180.00000000000,599.00000000000
3448514.00000000000,3378098.00000000000,580.00000000000
3450383.00000000000,3339377.00000000000,582.00000000000
3408827.00000000000,3325866.00000000000,628.00000000000
3403941.00000000000,3353506.00000000000,692.00000000000
3365093.00000000000,3360222.00000000000,748.00000000000
3362418.00000000000,3360887.00000000000,750.00000000000
3456240.00000000000,3140558.00000000000,672.00000000000
3464846.00000000000,3112124.00000000000,662.00000000000
3486316.00000000000,3082276.00000000000,669.00000000000
3480931.00000000000,3080777.00000000000,675.00000000000
3434770.00000000000,3198493.00000000000,490.00000000000
3435390.00000000000,3184193.00000000000,608.00000000000
3436243.00000000000,3184701.00000000000,597.00000000000
3514012.00000000000,3193015.00000000000,555.00000000000
3505005.00000000000,3085487.00000000000,629.00000000000
3426233.00000000000,3301756.00000000000,593.00000000000
3530017.00000000000,3086770.00000000000,617.00000000000
3418124.00000000000,3287882.00000000000,623.00000000000
3357280.00000000000,3291024.00000000000,766.00000000000
3424319.00000000000,3160780.00000000000,587.00000000000
3409091.00000000000,3303493.00000000000,670.00000000000
3469678.00000000000,3114335.00000000000,659.00000000000
3442881.00000000000,3127146.00000000000,655.00000000000
3468064.00000000000,3086170.00000000000,685.00000000000
3515319.00000000000,3089051.00000000000,646.00000000000
3464740.00000000000,2950547.00000000000,612.00000000000
3507198.00000000000,2993435.00000000000,660.00000000000
3457510.00000000000,2997769.00000000000,658.00000000000
3449110.00000000000,2994148.00000000000,651.00000000000
3453803.00000000000,2994993.00000000000,653.00000000000
3504313.00000000000,2971284.00000000000,643.00000000000
3428383.00000000000,3090903.00000000000,637.00000000000
3428019.00000000000,3090404.00000000000,640.00000000000
3385524.00000000000,3125667.00000000000,593.00000000000
3363431.00000000000,3108869.00000000000,546.00000000000
3363492.00000000000,3109871.00000000000,543.00000000000
3360031.00000000000,3109917.00000000000,557.00000000000
3361539.00000000000,3111062.00000000000,552.00000000000
3510530.00000000000,3052916.00000000000,697.00000000000
3399506.00000000000,3093935.00000000000,594.00000000000
3418030.00000000000,3094088.00000000000,615.00000000000
3535931.00000000000,3066355.00000000000,645.00000000000
3533558.00000000000,3068468.00000000000,650.00000000000
3497541.00000000000,3064218.00000000000,673.00000000000
3495360.00000000000,3064411.00000000000,680.00000000000
3510534.00000000000,3030757.00000000000,692.00000000000
3509520.00000000000,3068589.00000000000,662.00000000000
3516199.00000000000,3076391.00000000000,630.00000000000
3510661.00000000000,3063330.00000000000,708.00000000000
3522698.00000000000,3072523.00000000000,642.00000000000
3506893.00000000000,3066251.00000000000,652.00000000000
3509536.00000000000,3058313.00000000000,706.00000000000
3509661.00000000000,3058389.00000000000,708.00000000000
3519522.00000000000,3073595.00000000000,671.00000000000
3519515.00000000000,3073095.00000000000,679.00000000000
3446885.00000000000,3085280.00000000000,628.00000000000
3452439.00000000000,3079667.00000000000,658.00000000000
3462786.00000000000,3094298.00000000000,675.00000000000
3451619.00000000000,3099268.00000000000,650.00000000000
3538428.00000000000,3030030.00000000000,672.00000000000
3396472.00000000000,3398091.00000000000,700.00000000000
3381829.00000000000,3371521.00000000000,742.59000000000
3383570.00000000000,3385375.00000000000,729.45000000000
3337209.00000000000,3269756.00000000000,729.00000000000
3338713.00000000000,3269097.00000000000,736.30000000000
3335070.00000000000,3270174.00000000000,710.90000000000
3336108.00000000000,3268516.00000000000,726.40000000000
3336806.00000000000,3268508.00000000000,726.00000000000
3402875.00000000000,3237343.00000000000,685.00000000000
3403058.00000000000,3236670.00000000000,681.00000000000
3399921.00000000000,3246840.00000000000,674.00000000000
3394963.00000000000,3248155.00000000000,685.00000000000
3371441.00000000000,3226087.00000000000,701.60000000000
3370603.00000000000,3204704.00000000000,709.29000000000
3369306.00000000000,3203894.00000000000,704.88000000000
3417623.00000000000,3254019.00000000000,671.00000000000
3381578.00000000000,3249402.00000000000,711.00000000000
3373847.00000000000,3245615.00000000000,734.00000000000
3389999.00000000000,3249478.00000000000,679.00000000000
3430576.00000000000,3180570.00000000000,618.73400000000
3424937.00000000000,3173436.00000000000,615.00000000000
3376610.00000000000,3232725.00000000000,710.00000000000
3377053.00000000000,3237321.00000000000,697.00000000000
3371129.00000000000,3238487.00000000000,723.00000000000
3427922.00000000000,3182002.00000000000,615.00000000000
3371049.00000000000,3209451.00000000000,702.00000000000
3425367.00000000000,3242308.00000000000,647.00000000000
3389889.00000000000,3187947.00000000000,660.00000000000
3369120.00000000000,3227463.00000000000,714.00000000000
3405493.00000000000,3231507.00000000000,683.00000000000
3389011.00000000000,3204251.00000000000,699.00000000000
3414440.00000000000,3176899.00000000000,627.00000000000
3409887.00000000000,3174602.00000000000,637.00000000000
3411485.00000000000,3172558.00000000000,632.00000000000
3400393.00000000000,3196901.00000000000,653.41000000000
3394627.00000000000,3191021.00000000000,649.81000000000
3400401.00000000000,3184543.00000000000,647.12000000000
3400272.00000000000,3204173.00000000000,670.35000000000
3405796.00000000000,3182181.00000000000,642.19000000000
3400459.00000000000,3179183.00000000000,643.09000000000
3420501.00000000000,3214594.00000000000,620.00000000000
3389665.00000000000,3231690.00000000000,697.00000000000
3392935.00000000000,3227146.00000000000,682.00000000000
3388398.00000000000,3236858.00000000000,696.00000000000
3389605.00000000000,3237957.00000000000,695.00000000000
3379353.00000000000,3235564.00000000000,704.00000000000
3383637.00000000000,3245130.00000000000,709.00000000000
3427615.00000000000,3196390.00000000000,631.00000000000
3424838.00000000000,3195904.00000000000,620.00000000000
3427304.00000000000,3201524.00000000000,623.00000000000
3403282.00000000000,3255557.00000000000,665.00000000000
3395569.00000000000,3258366.00000000000,694.00000000000
3398348.00000000000,3258243.00000000000,683.00000000000
3411674.00000000000,3198627.00000000000,632.00000000000
3392405.00000000000,3193923.00000000000,654.00000000000
3382978.00000000000,3191904.00000000000,653.00000000000
3382117.00000000000,3184260.00000000000,655.00000000000
3389702.00000000000,3196011.00000000000,651.00000000000
3403992.00000000000,3218626.00000000000,682.00000000000
3398747.00000000000,3211613.00000000000,675.00000000000
3370886.00000000000,3185604.00000000000,675.00000000000
3374411.00000000000,3193704.00000000000,665.00000000000
3372893.00000000000,3170342.00000000000,637.00000000000
3394757.00000000000,3194103.00000000000,654.00000000000
3426278.00000000000,3249714.00000000000,625.00000000000
3381834.00000000000,3255139.00000000000,706.00000000000
3384759.00000000000,3243809.00000000000,685.00000000000
3415930.00000000000,3173426.00000000000,636.00000000000
3417384.00000000000,3172841.00000000000,639.00000000000
3356204.00000000000,3229729.00000000000,719.00000000000
3355528.00000000000,3231030.00000000000,704.00000000000
3363297.00000000000,3199195.00000000000,684.00000000000
3413764.00000000000,3195052.00000000000,634.00000000000
3414362.00000000000,3197224.00000000000,636.00000000000
3416917.00000000000,3201128.00000000000,633.00000000000
3378408.00000000000,3217241.00000000000,701.00000000000
3379807.00000000000,3216837.00000000000,701.00000000000
3381714.00000000000,3211074.00000000000,709.00000000000
3371156.00000000000,3218568.00000000000,704.00000000000
3383455.00000000000,3227240.00000000000,701.00000000000
3363690.00000000000,3215755.00000000000,705.00000000000
3407739.00000000000,3252416.00000000000,671.00000000000
3393134.00000000000,3174235.00000000000,656.00000000000
3391236.00000000000,3181795.00000000000,657.00000000000
3400605.00000000000,3176362.00000000000,639.00000000000
3419463.00000000000,3161322.00000000000,605.45000000000
3396044.00000000000,3226856.00000000000,683.75000000000
3368580.00000000000,3204575.00000000000,707.28000000000
3376125.00000000000,3201381.00000000000,710.93000000000
3378047.00000000000,3204125.00000000000,713.50000000000
3377464.00000000000,3201075.00000000000,695.99000000000
3410973.00000000000,3249736.00000000000,660.11000000000
3412428.00000000000,3245408.00000000000,668.21000000000
3382138.71140000000,3346347.60510000000,731.00000000000
3380135.45580000000,3346853.25940000000,731.00000000000
3379273.76800000000,3345838.31120000000,732.00000000000
3377551.15750000000,3346820.98400000000,735.00000000000
3377048.00000000000,3440471.00000000000,720.00000000000
3377049.00000000000,3440444.00000000000,716.00000000000
3378807.00000000000,3439190.00000000000,714.00000000000
3372280.00000000000,3435566.00000000000,738.50000000000
3413292.00000000000,3339111.00000000000,626.00000000000
3448532.00000000000,3374760.00000000000,579.00000000000
3356371.00000000000,3439366.00000000000,736.10000000000
3356354.00000000000,3437995.00000000000,734.75000000000
3356939.00000000000,3437814.00000000000,739.10000000000
3352908.00000000000,3427504.00000000000,743.00000000000
3353609.00000000000,3430558.00000000000,741.90000000000
3392113.00000000000,3362165.00000000000,725.00000000000
3394679.00000000000,3356922.00000000000,710.00000000000
3395247.00000000000,3355308.00000000000,702.00000000000
3418280.00000000000,3378063.00000000000,619.00000000000
3423033.00000000000,3376384.00000000000,611.00000000000
3475228.00000000000,3144840.00000000000,579.00000000000
3391590.00000000000,3266436.00000000000,674.00000000000
3391164.00000000000,3344583.00000000000,718.00000000000
3369133.00000000000,3412224.00000000000,720.00000000000
3369377.00000000000,3416688.00000000000,728.50000000000
3404545.00000000000,3409724.00000000000,674.00000000000
3405443.00000000000,3408280.00000000000,674.00000000000
3406032.00000000000,3410800.00000000000,677.00000000000
3408012.00000000000,3407500.00000000000,677.00000000000
3389441.00000000000,3393062.00000000000,699.00000000000
3369177.00000000000,3265077.00000000000,758.00000000000
3385778.00000000000,3398449.00000000000,706.00000000000
3386208.00000000000,3396765.00000000000,715.00000000000
3373611.00000000000,3302333.00000000000,742.00000000000
3381565.00000000000,3297810.00000000000,733.00000000000
3452821.00000000000,3436444.00000000000,581.00000000000
3353132.00000000000,3366729.00000000000,746.00000000000
3353792.00000000000,3366069.00000000000,747.00000000000
3382644.00000000000,3416573.00000000000,705.00000000000
3384732.00000000000,3415538.00000000000,697.00000000000
3386526.00000000000,3426649.00000000000,690.00000000000
3387652.00000000000,3414195.00000000000,691.00000000000
3348354.00000000000,3388675.00000000000,740.00000000000
3351345.00000000000,3384860.00000000000,743.00000000000
3408248.00000000000,3142864.00000000000,630.85000000000
3417027.00000000000,3372549.00000000000,661.00000000000
3397529.00000000000,3420847.00000000000,690.00000000000
3395074.00000000000,3423242.00000000000,699.00000000000
3393433.00000000000,3417296.00000000000,703.00000000000
3388417.00000000000,3419622.00000000000,696.00000000000
3399613.00000000000,3422846.00000000000,696.00000000000
3401760.00000000000,3368904.00000000000,698.00000000000
3401831.00000000000,3367222.00000000000,697.00000000000
3423473.00000000000,3272712.00000000000,564.00000000000
3424110.00000000000,3272415.00000000000,563.00000000000
3426926.00000000000,3272924.00000000000,562.00000000000
3386939.00000000000,3297494.00000000000,708.00000000000
3494055.00000000000,3084973.00000000000,635.00000000000
3495257.00000000000,3083404.00000000000,610.00000000000
3496476.00000000000,3085273.00000000000,633.00000000000
3499147.00000000000,3085339.00000000000,621.00000000000
3424633.00000000000,3327307.00000000000,591.00000000000
3423313.00000000000,3326647.00000000000,593.00000000000
3423973.00000000000,3327307.00000000000,599.00000000000
3421993.00000000000,3326647.00000000000,603.00000000000
3428234.00000000000,3301971.00000000000,588.00000000000
3439285.72830000000,3370901.58280000000,598.00000000000
3379145.11780000000,3394904.13460000000,707.00000000000
3371175.00000000000,3282040.00000000000,733.00000000000
3381955.00000000000,3268069.00000000000,727.00000000000
3342362.00000000000,3264056.00000000000,725.00000000000
3429150.00000000000,3413631.00000000000,610.00000000000
3390913.00000000000,3322541.00000000000,714.00000000000
3371125.00000000000,3426962.00000000000,737.00000000000
3352659.00000000000,3393193.00000000000,744.00000000000
3353370.00000000000,3393740.00000000000,742.00000000000
3427734.00000000000,3422755.00000000000,601.00000000000
3405765.00000000000,3390499.00000000000,695.00000000000
3378432.00000000000,3332200.00000000000,722.50000000000
3378202.00000000000,3331408.00000000000,724.92000000000
3381510.00000000000,3327686.00000000000,718.17000000000
3380947.00000000000,3325711.00000000000,721.50000000000
3380511.00000000000,3323505.00000000000,728.77000000000
3345747.58550000000,3066022.26600000000,505.00000000000
3360240.96310000000,3074776.84790000000,501.00000000000
3353802.91580000000,3059545.75350000000,477.00000000000
3380260.17800000000,3109382.42760000000,550.00000000000
3370704.98230000000,3107554.03080000000,551.00000000000
3375599.15890000000,3104290.68100000000,546.00000000000
3353216.95950000000,3038333.61330000000,485.50000000000
3445127.11820000000,3091032.96100000000,659.00000000000
3462857.54570000000,3086068.46880000000,626.00000000000
3373719.51280000000,3150769.14380000000,615.00000000000
3395841.73290000000,3160325.42170000000,636.00000000000
3397057.61080000000,3160237.54900000000,633.00000000000
3365308.28130000000,3116867.32750000000,592.00000000000
3422199.29450000000,3137745.08940000000,637.00000000000
3426301.15960000000,3120498.10460000000,658.00000000000
3419296.04400000000,3130377.40630000000,659.00000000000
3389856.86010000000,3155640.91630000000,658.00000000000
3380145.44680000000,3156829.34640000000,628.00000000000
3381610.85220000000,3158163.71540000000,625.00000000000
3376921.73570000000,3155489.92500000000,628.00000000000
3394176.27520000000,3157564.60450000000,646.00000000000
3385298.65380000000,3157250.06970000000,649.00000000000
3383944.71700000000,3160326.31300000000,633.00000000000
3382148.39150000000,3154685.30590000000,646.00000000000
3402528.79300000000,3117157.01850000000,627.00000000000
3406789.78160000000,3112142.48140000000,639.00000000000
3406348.13510000000,3125571.42110000000,592.00000000000
3413181.88590000000,3057341.96870000000,649.00000000000
3414074.95650000000,3059169.99940000000,648.00000000000
3343053.21980000000,3065806.64290000000,520.00000000000
3423708.12420000000,3087748.75990000000,666.00000000000
3431623.16430000000,3086677.53370000000,651.00000000000
3417521.42390000000,3085893.47550000000,641.00000000000
3413601.21760000000,3080112.12730000000,647.00000000000
3467578.08260000000,3026039.15790000000,685.00000000000
3463524.79530000000,3025435.49750000000,685.00000000000
3467413.62300000000,3027670.62050000000,682.00000000000
3374675.42520000000,3087739.42820000000,506.00000000000
3377095.63190000000,3088945.83760000000,499.00000000000
3384051.04410000000,3141232.41960000000,590.00000000000
3381511.79430000000,3138495.60250000000,592.00000000000
3388435.05910000000,3148091.15820000000,628.00000000000
3384358.48050000000,3146571.14630000000,628.00000000000
3375197.05110000000,3146021.80780000000,625.00000000000
3370433.39030000000,3133594.28140000000,612.00000000000
3352941.30230000000,3104431.99890000000,553.00000000000
3352780.77250000000,3105677.69850000000,555.00000000000
3352958.01960000000,3105224.14410000000,551.00000000000
3344593.54731000000,3221321.40671000000,666.00000000000
3487989.00000000000,3254781.00000000000,520.50000000000
3487873.00000000000,3250359.00000000000,523.40000000000
3488455.00000000000,3247682.00000000000,511.80000000000
3504282.00000000000,3227665.00000000000,528.30000000000
3499054.00000000000,3210092.00000000000,552.00000000000
3498580.00000000000,3212070.00000000000,550.90000000000
3479377.00000000000,3204739.00000000000,524.30000000000
3443184.00000000000,3267234.00000000000,546.50000000000
3448537.00000000000,3246402.00000000000,491.50000000000
3429335.00000000000,3211721.00000000000,591.50000000000
3431421.00000000000,3293457.00000000000,572.80000000000
3423011.00000000000,3293457.00000000000,630.40000000000
3461347.00000000000,3272773.00000000000,557.50000000000
3453629.00000000000,3193028.00000000000,487.98000000000
3445738.00000000000,3186767.00000000000,479.48000000000
3445738.00000000000,3189767.00000000000,479.48000000000
3445738.00000000000,3191767.00000000000,479.48000000000
3449738.00000000000,3188767.00000000000,479.48000000000
3451738.00000000000,3191767.00000000000,479.48000000000
3445738.00000000000,3195767.00000000000,479.48000000000
3447738.00000000000,3196767.00000000000,479.48000000000
3453738.00000000000,3202767.00000000000,479.48000000000
3434826.00000000000,3220188.00000000000,500.00000000000
3453891.00000000000,3188760.00000000000,577.58000000000
3342193.35500000000,3214150.40000000000,700.64000000000
3343559.37600000000,3209944.19300000000,677.50000000000
3332435.28000000000,3205310.22100000000,679.88000000000
3335319.64100000000,3206373.92200000000,673.39000000000
3334569.54000000000,3206280.21400000000,674.33000000000
3333939.51200000000,3207124.41500000000,676.68000000000
3334942.69000000000,3205119.17400000000,672.89000000000
3334322.62600000000,3201514.28100000000,679.42000000000
3338133.42500000000,3209546.69300000000,681.11000000000
3338259.16100000000,3210432.09900000000,688.49000000000
3339711.41300000000,3211512.65100000000,697.27000000000
3339754.76500000000,3210898.93500000000,683.50000000000
3340985.33100000000,3202544.99600000000,679.00000000000
3335740.58000000000,3200740.50100000000,679.62000000000
3338855.64000000000,3206164.58900000000,680.59000000000
3348118.62500000000,3208338.14500000000,684.69000000000
3348905.27100000000,3214559.70600000000,694.11000000000
3340918.69200000000,3215742.17600000000,702.18000000000
3336900.89900000000,3206058.61800000000,682.24000000000
3341560.90400000000,3206467.87500000000,680.24000000000
3331554.71400000000,3209362.89600000000,690.45000000000
3333190.60500000000,3211637.48500000000,693.50000000000
3337171.60200000000,3212943.27100000000,694.99000000000
3408146.00000000000,3163160.00000000000,631.49000000000
3407876.00000000000,3162701.00000000000,633.07000000000
3407935.00000000000,3161855.00000000000,632.90000000000
3408985.00000000000,3161819.00000000000,632.89000000000
3408963.00000000000,3162657.00000000000,630.93000000000
3408649.00000000000,3162774.00000000000,633.42000000000
3409590.00000000000,3162978.00000000000,632.92000000000
3410618.00000000000,3162635.00000000000,633.00000000000
3409160.00000000000,3164517.00000000000,632.80000000000
3409750.00000000000,3164881.00000000000,633.20000000000
3411230.00000000000,3160842.00000000000,627.97000000000
3411836.00000000000,3160550.00000000000,630.99000000000
3410049.00000000000,3160069.00000000000,630.33000000000
3415576.00000000000,3162213.00000000000,622.01000000000
3416568.00000000000,3162745.00000000000,620.73000000000
3417086.00000000000,3163744.00000000000,619.65000000000
3417217.00000000000,3165487.00000000000,618.76000000000
3417217.00000000000,3161753.00000000000,620.28000000000
3416838.00000000000,3159376.00000000000,611.93000000000
3413885.00000000000,3158640.00000000000,624.72000000000
3415190.00000000000,3158764.00000000000,624.22000000000
3414038.00000000000,3157830.00000000000,608.24000000000
3413994.00000000000,3157830.00000000000,605.71000000000
3413834.00000000000,3158049.00000000000,611.48000000000
3413447.00000000000,3158209.00000000000,604.04000000000
3278808.97000000000,3443732.28000000000,921.00000000000
3298629.60000000000,3442315.81000000000,870.00000000000
3220748.84000000000,3442250.64000000000,907.00000000000
3215553.60000000000,3441277.86000000000,888.00000000000
3259324.34000000000,3438255.53000000000,974.00000000000
3246930.00000000000,3437640.00000000000,939.00000000000
3325298.85000000000,3435264.84000000000,792.00000000000
3229210.55000000000,3434612.24000000000,901.00000000000
3214880.00000000000,3433670.00000000000,908.00000000000
3292222.49000000000,3433668.12000000000,879.00000000000
3313274.59000000000,3432992.58000000000,848.00000000000
3252915.69000000000,3430115.71000000000,954.00000000000
3255004.78000000000,3430020.59000000000,954.00000000000
3330757.42000000000,3429476.04000000000,783.00000000000
3213470.00000000000,3428510.00000000000,907.00000000000
3275290.58000000000,3426009.43000000000,916.00000000000
3231484.37000000000,3425753.18000000000,886.00000000000
3311711.75000000000,3425723.98000000000,801.00000000000
3228102.45000000000,3425644.41000000000,880.00000000000
3230512.60000000000,3420972.16000000000,875.00000000000
3213850.23000000000,3420798.65000000000,891.00000000000
3349178.97000000000,3419178.69000000000,740.00000000000
3226049.46000000000,3418842.70000000000,872.00000000000
3217390.00000000000,3418660.00000000000,876.00000000000
3270445.07000000000,3415738.63000000000,905.00000000000
3229462.58000000000,3414844.10000000000,874.00000000000
3306744.69000000000,3414656.70000000000,823.00000000000
3222558.01000000000,3413987.81000000000,869.00000000000
3343759.73000000000,3410772.49000000000,725.00000000000
3249628.35000000000,3410396.67000000000,876.00000000000
3270054.52000000000,3410251.38000000000,904.00000000000
3331940.00000000000,3410010.00000000000,823.00000000000
3275867.61000000000,3409811.62000000000,896.00000000000
3343010.45000000000,3409304.79000000000,722.00000000000
3218460.00000000000,3408800.00000000000,853.00000000000
3340080.00000000000,3408520.00000000000,734.00000000000
3313210.00000000000,3408490.00000000000,803.00000000000
3222894.09000000000,3406519.36000000000,864.00000000000
3228685.71000000000,3405929.88000000000,883.00000000000
3242283.05000000000,3405890.95000000000,885.00000000000
3338080.00000000000,3405530.00000000000,757.00000000000
3251368.59000000000,3405093.28000000000,904.00000000000
3343146.26000000000,3404865.06000000000,738.00000000000
3325241.13000000000,3404769.83000000000,812.00000000000
3269633.45000000000,3404328.74000000000,896.00000000000
3319956.99000000000,3403648.82000000000,809.00000000000
3331411.51000000000,3401832.71000000000,749.00000000000
3273320.00000000000,3400768.00000000000,880.00000000000
3335210.00000000000,3399790.00000000000,740.00000000000
3309435.17000000000,3398133.71000000000,804.00000000000
3333544.03000000000,3395665.77000000000,739.00000000000
3256043.22000000000,3395653.14000000000,877.00000000000
3334560.00000000000,3392180.00000000000,739.00000000000
3316021.28000000000,3392033.39000000000,794.00000000000
3232318.42000000000,3389093.93000000000,845.00000000000
3302316.81000000000,3388801.77000000000,829.00000000000
3221197.65000000000,3387735.24000000000,834.00000000000
3315078.25000000000,3387492.44000000000,792.00000000000
3271680.00000000000,3387280.00000000000,868.00000000000
3292866.66000000000,3386763.70000000000,867.00000000000
3331974.09000000000,3385250.18000000000,736.00000000000
3323235.49000000000,3384743.44000000000,766.00000000000
3254860.00000000000,3383670.00000000000,853.00000000000
3275390.00000000000,3383040.00000000000,862.00000000000
3336673.75000000000,3382215.63000000000,739.00000000000
3333460.00000000000,3380190.00000000000,739.00000000000
3250951.43000000000,3379968.10000000000,859.00000000000
3296449.32000000000,3379300.35000000000,865.00000000000
3300091.19000000000,3378846.35000000000,847.00000000000
3231798.11000000000,3378378.96000000000,831.00000000000
3296875.60000000000,3378349.11000000000,850.00000000000
3218032.43000000000,3378237.92000000000,812.00000000000
3258932.39000000000,3376084.57000000000,838.00000000000
3339320.00000000000,3375670.00000000000,734.00000000000
3348427.52000000000,3375641.13000000000,744.00000000000
3243267.31000000000,3374918.79000000000,861.00000000000
3282170.00000000000,3374560.00000000000,859.00000000000
3319408.75000000000,3374494.41000000000,773.00000000000
3287340.00000000000,3373970.00000000000,872.00000000000
3256270.00000000000,3373900.00000000000,830.00000000000
3245930.00000000000,3373720.00000000000,865.00000000000
3222760.00000000000,3373190.00000000000,805.00000000000
3288200.00000000000,3372610.00000000000,856.00000000000
3233550.00000000000,3369960.00000000000,800.00000000000
3301540.00000000000,3369910.00000000000,867.00000000000
3293900.00000000000,3369340.00000000000,891.00000000000
3326086.27000000000,3369131.41000000000,763.00000000000
3347416.84000000000,3368715.83000000000,738.00000000000
3346721.70000000000,3366403.87000000000,733.00000000000
3225341.39000000000,3366234.69000000000,791.00000000000
3281860.00000000000,3365900.00000000000,861.00000000000
3274608.42000000000,3365869.53000000000,844.00000000000
3243660.00000000000,3365450.00000000000,814.00000000000
3312858.97000000000,3363795.21000000000,829.00000000000
3251289.19000000000,3363461.77000000000,811.00000000000
3311939.29000000000,3360707.97000000000,827.00000000000
